Main Lines of Code,Logical Lines of Code,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
1,32,0,0,1,0,0
1,16,0,0,1,0,0
1,15,0,0,1,0,0
1,15,0,0,1,0,0
5,57,0,0,1,0,0
1,37,0,0,1,0,0
1,37,0,0,1,0,0
1,37,0,0,1,0,0
1,39,0,0,1,0,0
1,37,0,0,1,0,0
1,37,0,0,1,0,0
1,37,0,0,1,0,0
11,119,0,0,1,0,0
1,20,0,0,1,0,0
1,20,0,0,1,0,0
1,34,0,0,1,0,0
1,20,0,0,1,0,0
1,20,0,0,1,0,0
5,92,0,0,1,0,0
1,28,0,0,1,0,0
2,39,0,0,1,0,0
9,102,0,0,1,0,0
1,30,0,0,1,0,0
13,58,0,0,1,0,0
6,53,0,0,1,0,0
2,37,0,0,1,0,0
3,37,0,0,1,0,0
2,39,0,0,1,0,0
1,30,0,0,1,0,0
6,65,0,0,1,0,0
33,236,0,0,1,0,0
6,52,1,70,2,0,0
5,76,0,0,1,0,0
50,602,1,70,2,0,0
28,201,0,0,1,0,0
6,92,0,0,1,0,0
1,33,0,0,1,0,0
11,190,0,0,1,0,0
3,24,0,0,1,0,0
1,14,1,70,2,0,0
1,162,0,0,1,0,0
145,670,2,70,6,0,0
50,269,0,0,1,0,0
111,1495,1,70,2,0,0
41,134,0,0,1,0,0
112,868,1,70,2,0,0
8,92,0,0,1,0,0
10,67,0,0,1,0,0
20,105,0,0,1,0,0
1,12,0,0,1,0,0
16,122,0,0,1,0,0
17,268,0,0,1,0,0
6,51,0,0,1,0,0
1,11,0,0,1,0,0
1,11,0,0,1,0,0
1,14,0,0,1,0,0
2,141,0,0,1,0,0
4,37,0,0,1,0,0
1,50,0,0,1,0,0
1,22,0,0,1,0,0
1,22,0,0,1,0,0
1,56,0,0,1,0,0
1,113,0,0,1,0,0
1,29,0,0,1,0,0
1,45,0,0,1,0,0
2,25,0,0,1,0,0
1,28,1,70,2,0,0
32,882,0,0,1,0,0
3,229,1,70,2,0,0
1,63,0,0,1,0,0
2,110,0,0,1,0,0
6,245,0,0,1,0,0
1,60,0,0,1,0,0
11,74,0,0,1,0,0
1,25,1,70,1,0,0
3,89,0,0,1,0,0
15,154,1,70,1,0,0
7,72,1,70,3,0,0
23,336,1,70,1,0,0
66,619,3,590,15,0,0
1,123,3,70,5,0,0
3,40,1,70,1,0,0
1,36,1,70,1,0,0
25,244,1,70,2,0,0
1,16,2,590,4,0,0
74,549,2,590,4,0,0
5,30,2,590,4,0,0
1,46,2,590,4,0,0
2,19,1,70,1,0,0
1,7,1,70,1,0,0
1,1,1,70,1,0,0
1,9,2,590,4,0,0
1,4,1,70,1,0,0
1,1,1,70,1,0,0
1,5,0,0,1,0,0
1,25,2,70,6,0,0
1,30,1,70,1,0,0
14,70,1,70,1,0,0
1,16,3,70,5,0,0
1,8,1,70,1,0,0
3,19,1,70,1,0,0
1,20,2,70,8,0,0
1,12,1,70,1,0,0
1,13,2,70,8,0,0
2,20,1,70,1,0,0
1,38,1,70,1,0,0
2,148,1,70,1,0,0
15,367,3,70,5,0,0
1,118,1,70,1,0,0
4,175,1,70,1,0,0
2,154,2,590,8,0,0
5,67,1,70,1,0,0
3,46,1,70,1,0,0
1,209,1,70,1,0,0
1,13,1,70,1,0,0
1,63,2,70,4,0,0
1,40,1,70,1,0,0
6,93,2,70,4,0,0
3,51,1,70,1,0,0
1,56,1,70,1,0,0
1,31,1,70,1,0,0
1,8,1,70,1,0,0
1,9,1,70,1,0,0
2,17,1,70,1,0,0
1,10,1,70,1,0,0
4,21,1,70,1,0,0
3,25,1,70,1,0,0
2,16,1,70,1,0,0
4,17,1,70,1,0,0
10,45,1,70,1,0,0
1,13,1,70,1,0,0
4,120,1,70,2,0,0
6,85,1,70,1,0,0
11,120,1,70,2,0,0
5,144,1,70,1,0,0
4,69,1,70,1,0,0
7,141,0,0,1,0,0
9,243,0,0,1,0,0
6,54,1,70,1,0,0
41,560,1,70,1,0,0
23,252,1,70,1,0,0
35,246,2,590,3,0,0
1,151,1,590,3,0,0
1,27,0,0,1,0,0
1,1,0,0,1,0,0
1,16,0,0,1,0,0
1,1,0,0,1,0,0
1,15,0,0,1,0,0
1,15,1,70,1,0,0
7,180,2,70,8,0,0
7,70,1,70,1,0,0
7,77,1,70,1,0,0
7,78,1,70,1,0,0
7,69,1,70,1,0,0
7,68,1,70,1,0,0
12,53,1,70,1,0,0
7,59,2,70,6,0,0
12,53,1,70,1,0,0
1,10,1,70,1,0,0
1,14,1,70,1,0,0
15,230,2,590,4,0,0
1,16,1,70,1,0,0
83,774,2,590,17,0,0
11,159,1,70,1,0,0
10,50,1,70,1,0,0
2,105,1,70,1,0,0
20,364,2,70,9,0,0
1,49,0,0,1,0,0
4,27,0,0,1,0,0
3,29,0,0,1,0,0
2,21,0,0,1,0,0
9,62,0,0,1,0,0
5,40,0,0,1,0,0
1,8,0,0,1,0,0
4,43,0,0,1,0,0
1,24,0,0,1,0,0
7,51,0,0,1,0,0
1,33,0,0,1,0,0
2,22,0,0,1,0,0
2,37,0,0,1,0,0
6,139,1,70,2,0,0
1,18,0,0,1,0,0
2,13,0,0,1,0,0
1,6,0,0,1,0,0
31,314,0,0,1,0,0
18,155,0,0,1,0,0
38,304,1,70,2,0,0
8,120,0,0,1,0,0
18,163,0,0,1,0,0
9,55,0,0,1,0,0
2,80,0,0,1,0,0
28,172,0,0,1,0,0
1,16,0,0,1,0,0
7,80,1,70,2,0,0
4,34,0,0,1,0,0
2,140,0,0,1,0,0
12,138,0,0,1,0,0
2,107,1,70,2,0,0
5,92,0,0,1,0,0
7,99,0,0,1,0,0
1,7,0,0,1,0,0
1,6,0,0,1,0,0
1,8,0,0,1,0,0
1,5,1,70,1,0,0
1,1,0,0,1,0,0
7,90,0,0,1,0,0
2,59,0,0,1,0,0
1,23,0,0,1,0,0
1,29,0,0,1,0,0
1,12,0,0,1,0,0
4,33,0,0,1,0,0
3,122,1,70,2,0,0
13,104,2,590,4,0,0
2,63,1,70,1,0,0
1,23,1,70,1,0,0
1,50,1,70,1,0,0
1,12,1,70,1,0,0
4,33,1,70,1,0,0
3,124,1,70,1,0,0
17,152,0,0,1,0,0
77,362,2,590,4,0,0
1,1,0,0,1,0,0
16,126,1,70,2,0,0
5,157,0,0,1,0,0
17,135,2,590,4,0,0
5,157,1,70,1,0,0
3,38,0,0,1,0,0
7,71,0,0,1,0,0
18,55,0,0,1,0,0
10,332,0,0,1,0,0
19,374,0,0,2,0,0
16,56,1,70,1,0,0
48,689,2,70,5,0,0
3,76,1,70,1,0,0
7,87,1,70,1,0,0
42,523,2,590,4,0,0
1,1,0,0,1,0,0
1,7,0,0,1,0,0
1,7,1,70,1,0,0
4,29,0,0,1,0,0
5,36,0,0,1,0,0
4,27,1,70,2,0,0
6,31,1,70,1,0,0
5,32,1,70,1,0,0
1,96,1,70,1,0,0
1,69,1,70,1,0,0
1,48,1,70,1,0,0
6,166,1,70,1,0,0
2,122,1,70,1,0,0
2,123,1,70,1,0,0
1,17,1,70,1,0,0
1,111,2,590,4,0,0
1,64,1,70,1,0,0
1,35,1,70,1,0,0
1,107,2,70,4,0,0
19,213,2,590,2,0,0
50,404,2,70,14,0,0
2,91,1,70,2,0,0
4,50,2,70,3,0,0
11,176,2,590,9,1,0
1,155,2,70,7,0,0
1,197,2,70,8,0,1
7,206,2,70,4,0,0
64,369,2,70,9,0,0
46,284,2,70,16,0,0
12,65,2,70,3,0,0
8,169,2,70,8,0,0
57,435,2,590,9,1,0
8,89,2,70,5,0,0
73,866,2,70,4,0,0
98,1039,2,70,11,0,1
38,132,1,70,1,0,0
6,79,2,70,3,0,0
21,122,2,70,3,0,0
3,28,2,70,3,0,0
18,315,2,70,15,0,0
32,215,2,70,11,0,0
18,150,2,70,4,0,0
210,2598,2,70,6,0,1
9,80,2,70,3,0,1
35,366,2,70,9,0,1
1,272,2,70,4,0,0
9,184,2,70,9,0,0
8,754,2,70,4,0,0
2,31,2,590,3,0,0
4,477,2,70,3,0,0
1,388,2,70,7,0,0
16,89,2,70,3,0,0
14,106,2,70,4,0,0
5,190,2,70,3,0,0
1,349,2,70,4,0,0
5,489,2,70,4,0,0
1,176,1,70,1,0,0
1,70,1,70,1,0,0
15,94,2,70,7,0,0
1,102,2,70,4,0,0
14,330,2,70,5,0,0
5,579,2,70,5,0,0
1,107,1,70,1,0,0
6,50,2,70,4,0,0
5,119,3,70,6,0,0
4,119,1,70,1,0,0
5,53,1,70,1,0,0
10,80,1,70,1,0,0
1,13,3,70,5,0,0
1,44,1,70,1,0,0
1,226,2,70,11,0,0
197,1011,1,70,1,0,1
1,88,1,70,1,0,0
13,330,3,70,8,0,0
3,241,3,70,8,0,0
3,109,1,70,1,0,0
7,77,1,70,1,0,0
6,58,1,70,1,0,0
5,32,1,70,1,0,0
3,92,3,70,5,0,0
6,66,1,70,2,0,0
1,13,3,70,5,0,0
2,112,1,70,1,0,0
22,240,1,70,4,1,0
4,63,0,0,1,0,0
1,13,0,0,1,0,0
1,5,0,0,1,0,0
1,30,0,0,1,0,0
77,312,0,0,1,0,0
1,26,0,0,1,0,0
4,31,0,0,1,0,0
18,119,4,70,6,0,0
8,46,0,0,1,0,0
65,305,0,0,1,0,0
1,1,0,0,1,0,0
1,8,0,0,1,0,0
1,14,0,0,1,0,0
4,96,4,70,5,0,0
1,4,4,70,6,0,0
34,190,4,70,6,0,0
6,103,4,70,6,0,0
1,12,0,0,1,0,0
1,282,0,0,1,0,0
1,19,0,0,1,0,0
1,25,0,0,1,0,0
63,912,0,0,1,0,0
1,20,0,0,1,0,0
2,113,0,0,1,0,0
3,121,4,70,6,0,0
2,119,0,0,1,0,0
3,222,4,70,6,0,0
15,83,0,0,1,0,0
23,79,0,0,1,0,0
1,1,0,0,1,0,0
18,95,0,0,1,0,0
47,323,0,0,1,0,0
1,6,0,0,1,0,0
1,8,0,0,1,0,0
52,238,0,0,1,0,0
16,75,0,0,1,0,0
30,208,4,70,10,0,0
64,408,4,70,9,0,0
1,7,0,0,1,0,0
1,1,0,0,1,0,0
1,43,0,0,1,0,0
84,485,4,70,7,0,0
35,228,0,0,1,0,0
24,201,2,70,6,0,0
3,30,0,0,1,0,0
8,101,0,0,1,0,0
1,7,0,0,1,0,0
1,5,0,0,1,0,0
10,82,0,0,1,0,0
4,62,0,0,1,0,0
15,115,0,0,1,0,0
4,58,0,0,1,0,0
2,32,0,0,1,0,0
1,40,4,70,9,0,0
1,32,0,0,1,0,0
1,9,0,0,1,0,0
1,135,0,0,1,0,0
4,236,0,0,1,0,0
4,445,0,0,1,0,0
1,116,0,0,1,0,0
1,382,0,0,1,0,0
2,449,4,70,6,0,0
2,389,0,0,1,0,0
2,715,4,70,6,0,0
1,176,0,0,1,0,0
1,123,2,70,5,0,0
1,36,0,0,1,0,0
1,25,4,70,6,0,0
2,127,0,0,1,0,0
2,127,0,0,1,0,0
2,52,0,0,1,0,0
2,261,0,0,1,0,0
3,44,0,0,1,0,0
1,55,4,70,5,0,0
3,70,0,0,1,0,0
2,40,4,70,5,0,0
18,187,0,0,1,0,0
1,43,0,0,1,0,0
5,114,0,0,1,0,0
2,47,0,0,1,0,0
5,66,0,0,1,0,0
5,59,4,70,5,0,0
2,39,0,0,1,0,0
2,35,0,0,1,0,0
5,73,0,0,1,0,0
2,43,4,70,5,0,0
2,76,0,0,1,0,0
4,95,0,0,1,0,0
1,74,0,0,1,0,0
2,72,0,0,1,0,0
2,34,0,0,1,0,0
6,113,4,70,6,0,0
1,119,0,0,1,0,0
1,11,13,0,9,665,0
1,30,10,0,6,665,0
1,20,18,0,11,665,0
1,21,21,0,8,665,0
5,91,21,0,8,665,0
1,20,11,0,7,665,0
1,26,21,0,9,665,0
1,20,17,0,9,665,0
14,92,13,0,7,665,0
1,12,12,0,7,665,0
26,318,20,0,9,665,0
1,1,11,0,5,665,0
1,7,12,0,7,665,0
1,21,16,0,9,665,0
1,63,10,0,5,665,0
1,11,12,0,7,665,0
1,35,14,0,8,665,0
3,31,13,0,7,665,0
8,130,13,0,7,665,0
2,71,25,0,11,665,0
2,70,22,0,11,665,0
35,238,20,0,11,665,0
18,183,15,0,7,665,0
1,61,29,0,13,1296,0
2,71,20,0,9,665,0
2,68,21,0,11,665,0
5,80,21,0,11,665,0
4,55,10,0,5,665,0
1,20,12,0,7,665,0
1,19,12,0,7,665,0
4,42,11,0,7,665,0
12,107,13,0,7,665,0
1,5,10,0,5,665,0
2,24,10,0,5,665,0
3,119,17,0,9,665,0
4,122,22,0,11,665,0
4,158,35,0,15,1296,0
5,67,25,0,10,5350,0
1,72,15,0,9,665,0
1,11,16,0,7,5350,0
1,29,20,0,7,5350,0
2,34,12,0,7,665,0
1,4,10,0,5,665,0
4,50,23,0,10,5350,0
1,15,13,0,8,665,0
1,40,31,0,13,5350,0
2,69,14,0,6,5350,0
1,75,8,0,6,665,0
31,579,101,1,17,5350,0
12,175,55,0,12,5350,0
1,9,8,0,4,5350,0
1,82,27,0,11,5350,0
4,123,9,0,3,5350,0
5,40,12,0,7,5350,0
1,20,6,0,2,5350,0
1,21,31,0,9,2319,0
1,19,10,0,5,2319,0
2,28,26,0,9,5350,0
1,16,11,0,6,5350,0
1,34,14,0,6,5350,0
1,29,36,0,11,5350,0
2,28,13,0,7,5350,0
2,28,13,0,7,5350,0
2,28,13,0,7,5350,0
1,11,13,0,7,5350,0
2,28,13,0,7,5350,0
2,28,13,0,7,5350,0
2,28,13,0,7,5350,0
4,28,13,0,7,5350,0
2,28,13,0,7,5350,0
1,18,5,0,3,5350,0
1,16,12,0,6,5350,0
4,31,12,0,6,5350,0
1,16,10,0,6,5350,0
1,20,4,0,3,268,0
17,152,48,0,13,5350,0
9,69,22,0,9,2472,0
29,207,17,0,7,1636,0
1,16,12,0,6,5350,0
4,27,12,0,6,5350,0
27,221,7,0,4,2319,0
2,28,12,0,6,5350,0
1,13,10,0,5,5350,0
1,8,9,0,6,2319,0
1,16,12,0,6,5350,0
1,14,12,0,6,5350,0
1,16,12,0,6,5350,0
4,40,15,0,6,5350,0
1,20,7,0,5,268,0
5,132,97,0,18,1296,0
1,9,6,0,4,2319,0
1,35,6,0,2,2319,0
20,187,59,0,16,5350,0
1,32,33,0,12,5350,0
1,19,6,0,4,2319,0
8,153,22,0,10,5350,0
1,29,12,0,6,5350,0
1,18,1,0,1,268,0
1,17,91,0,15,5350,0
1,18,9,0,5,268,0
1,7,12,0,7,5350,0
1,19,11,0,7,268,0
2,41,2,0,2,2319,0
1,26,2,0,1,5350,0
2,44,16,0,7,5350,0
9,71,21,0,11,828,0
9,156,16,0,7,5350,0
2,13,12,0,7,7,0
1,35,12,0,6,5350,0
1,33,35,0,10,5350,0
7,61,2,0,2,268,0
1,53,43,0,11,5350,0
1,33,6,0,4,5350,0
6,117,44,0,11,5350,0
5,59,17,0,7,5350,0
1,6,25,0,9,5350,0
3,38,22,0,10,5350,0
4,56,40,0,12,5350,0
1,27,51,0,14,5350,0
7,76,1,0,1,2319,0
8,91,3,0,3,2472,0
4,54,7,0,3,5350,0
6,94,21,0,8,5350,0
1,10,1,0,1,2319,0
1,6,1,0,1,2319,0
5,35,7,0,3,5350,0
1,5,3,0,2,1296,0
1,5,17,0,8,1296,0
1,21,10,0,6,224,0
20,264,71,0,14,5350,0
3,22,19,0,8,2319,0
1,5,11,0,6,2319,0
4,33,12,0,9,412,0
1,8,8,0,6,2319,0
2,31,25,0,9,5350,0
1,10,8,0,4,2319,0
1,4,4,0,3,5350,0
1,5,4,0,2,1126,0
1,11,2,0,2,2472,0
1,8,2,0,2,2472,0
1,11,2,0,2,2472,0
2,21,2,0,2,2472,0
1,39,2,0,2,2472,0
7,95,10,1,6,412,0
1,20,3,0,3,1126,0
10,132,8,0,6,412,0
1,21,11,0,6,5350,0
1,39,17,0,6,5350,0
11,99,14,0,6,1296,0
3,53,6,0,5,2319,0
1,50,2,0,2,2319,0
4,63,10,0,5,5350,0
1,32,4,0,3,5350,0
3,28,5,0,4,1636,0
1,20,1,0,1,268,0
6,87,7,0,5,2319,0
30,466,20,0,10,5350,0
1,25,6,0,4,2319,0
1,34,2,0,2,2319,0
3,41,35,0,13,5350,0
5,30,4,0,3,1126,0
1,37,69,0,16,1636,0
1,19,5,0,4,268,0
1,6,3,0,2,1126,0
13,178,14,0,9,2319,0
4,85,9,0,6,1296,0
1,25,13,0,7,2319,0
4,64,3,0,2,2319,0
1,8,3,0,2,1634,0
1,8,2,0,1,1634,0
4,41,31,0,9,5350,0
1,16,9,0,4,5350,0
1,6,4,0,3,1296,0
13,92,9,0,4,5350,0
1,16,3,0,2,1634,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,0,2,0,1,3997,0
1,37,7,0,4,224,0
2,17,2,0,2,2472,0
14,164,26,0,10,2472,0
1,41,34,0,12,665,0
10,121,9,0,5,1296,0
1,21,9,0,4,2319,0
1,5,3,0,2,1296,0
6,39,27,0,8,2319,0
2,81,5,0,4,2319,0
1,36,6,0,4,2319,0
1,29,3,0,2,2319,0
1,42,5,0,4,2319,0
2,37,10,0,6,5350,0
2,32,6,0,5,268,0
1,33,4,0,3,412,0
13,79,14,0,7,2319,0
6,60,7,0,4,2319,0
1,17,7,0,4,5350,0
1,18,5,0,4,2319,0
2,24,5,0,4,2319,0
2,121,8,0,5,5350,0
13,119,9,0,7,5350,0
15,110,18,0,11,665,0
11,194,45,0,18,828,0
13,135,15,0,8,828,0
1,59,10,0,7,2319,0
10,200,5,0,4,2319,0
1,17,7,0,4,5350,0
1,18,3,0,2,1296,0
2,22,5,0,4,2319,0
1,79,5,0,4,2319,0
8,130,2,0,2,2472,0
4,27,3,0,3,5350,0
16,99,10,0,6,5350,0
1,22,1,0,1,1636,0
1,39,3,0,2,5350,0
1,69,4,0,3,2319,0
1,40,3,0,2,5350,0
5,52,5,0,4,2319,0
8,22,3,0,3,1126,0
1,11,6,0,4,1636,0
1,14,8,0,6,2319,0
5,38,5,0,4,2319,0
9,127,70,0,17,1296,0
4,48,9,0,5,5350,0
8,84,30,0,12,2472,0
90,1368,145,1,19,665,0
2,56,15,0,9,1636,0
28,300,29,0,12,533,0
10,238,17,0,9,2319,0
8,246,14,0,8,5350,0
1,10,3,0,2,1296,0
1,9,10,0,5,2319,0
1,5,3,0,2,1296,0
1,22,3,0,2,1296,0
7,90,7,0,4,2319,0
179,1714,139,0,22,224,0
4,77,9,0,5,2319,0
1,16,2,0,2,665,0
6,203,19,0,8,1296,0
1,7,1,0,1,533,0
6,58,6,0,5,224,0
20,162,17,0,7,505,0
2,38,2,0,1,268,0
17,115,9,0,5,5350,0
2,54,17,0,6,533,0
1,11,4,0,3,268,0
1,5,5,0,4,2319,0
1,21,5,0,4,2319,0
7,128,13,0,7,665,0
3,29,6,0,5,236,0
21,168,10,0,7,7,0
1,17,5,0,4,2319,0
9,90,29,0,12,828,0
1,17,5,0,4,2319,0
16,131,10,1,7,2472,0
1,13,5,0,4,2319,0
11,67,7,0,4,2319,0
1,5,5,0,4,2319,0
1,5,5,0,4,2319,0
28,202,17,0,8,665,0
2,49,15,0,7,268,0
2,18,5,0,4,2319,0
4,52,5,0,4,2319,0
1,4,1,0,1,1126,0
3,57,8,0,5,5350,0
1,9,3,0,2,2319,0
7,61,9,0,5,5350,0
1,19,7,0,4,2472,0
5,59,5,0,4,665,0
1,15,4,0,4,7,0
2,27,4,0,4,7,0
11,109,14,0,8,5350,0
1,10,14,0,7,2319,0
1,13,6,0,4,505,0
2,20,1,0,1,1636,0
3,34,4,0,4,828,0
1,12,1,0,1,533,0
20,262,23,0,6,224,0
13,146,2,0,1,1636,0
11,87,6,2,3,2319,0
9,94,6,0,5,828,0
6,61,3,0,2,828,0
1,8,1,0,1,1636,0
2,23,1,0,1,1636,0
1,33,4,0,3,1636,0
27,190,19,0,6,310,0
8,105,9,0,5,224,0
2,46,17,2,6,828,0
1,38,1,0,1,310,0
17,226,45,0,10,1296,0
18,209,23,0,9,1296,0
1,10,10,0,4,5350,0
1,18,14,0,7,2319,0
5,64,12,0,7,2319,0
3,15,6,0,4,2319,0
1,13,6,0,4,2319,0
1,6,6,0,4,2319,0
5,36,20,0,7,5350,0
5,57,16,0,7,5350,0
2,25,9,0,5,2319,0
2,39,6,0,4,2319,0
1,18,9,0,5,2319,0
1,18,9,0,5,2319,0
1,18,9,0,5,2319,0
4,62,2,0,2,2472,0
7,87,2,0,2,2472,0
1,16,2,0,2,2472,0
13,77,2,0,2,2472,0
5,113,8,0,3,5350,0
6,64,9,0,4,5350,0
1,18,2,0,2,2472,0
3,69,9,0,6,2472,0
4,47,5,0,4,2472,0
2,45,5,0,4,2472,0
1,31,3,0,2,1126,0
2,68,8,0,5,7,0
1,32,3,0,2,1126,0
2,47,3,0,2,1126,0
3,41,8,0,5,505,0
6,54,2,0,1,3997,0
11,199,13,0,7,1296,0
15,346,13,0,7,310,0
12,115,14,0,8,5350,0
1,44,3,0,2,1296,0
1,49,3,0,2,1296,0
7,95,10,0,7,505,0
23,374,17,0,6,1636,0
13,52,9,0,5,5350,0
7,114,11,0,6,1296,0
3,55,2,0,2,5350,0
12,137,7,0,5,310,0
1,14,8,0,5,310,0
1,14,7,0,5,310,0
1,14,8,0,5,310,0
7,59,11,0,5,310,0
1,18,9,0,5,310,0
1,26,5,0,3,5350,0
2,61,9,0,7,2319,0
1,18,6,0,5,505,0
2,53,21,0,9,5350,0
2,79,11,0,8,2319,0
1,20,3,0,3,2472,0
1,45,7,0,6,533,0
6,94,13,0,7,310,0
2,44,30,0,12,5350,0
2,37,24,0,10,5350,0
1,46,17,0,7,5350,0
1,17,12,0,9,2319,0
1,129,13,0,8,310,0
11,144,34,0,10,5350,0
16,289,20,0,8,5350,0
1,43,9,0,7,2319,0
3,30,1,0,1,2319,0
1,39,20,0,8,310,0
8,55,9,0,4,1126,0
2,138,27,0,13,5350,0
30,424,16,0,6,5350,0
12,227,32,0,10,505,0
1,36,6,0,2,5350,0
19,204,51,0,18,5350,0
1,26,5,0,3,2319,0
1,5,5,0,3,2319,0
8,225,19,0,10,665,0
1,330,8,0,6,2472,0
1,77,9,0,7,2319,0
2,576,22,0,10,143,0
2,81,3,0,3,2472,0
1,170,3,0,3,2472,0
1,28,8,0,6,5350,0
1,114,9,0,5,2472,0
1,283,21,0,9,224,0
1,40,8,0,4,224,0
1,46,3,0,3,2472,0
1,67,6,0,6,1636,0
4,84,3,0,2,3997,0
3,52,3,0,3,2472,0
1,136,11,0,8,1636,0
4,86,16,0,9,665,0
1,105,6,0,6,1636,0
1,138,3,0,3,2472,0
3,729,21,1,11,2319,0
2,477,12,0,7,2319,0
4,82,18,0,6,2319,0
1,33,3,0,3,2472,0
4,49,7,0,5,505,0
1,216,11,0,6,533,0
1,32,7,0,4,224,0
5,242,7,0,7,1636,0
3,215,4,0,3,3997,0
1,11,9,0,5,3997,0
1,24,3,0,3,2472,0
1,216,11,0,6,2472,0
1,100,3,0,3,2472,0
1,46,3,0,3,2472,0
36,427,76,0,17,2472,0
13,168,13,0,5,1296,0
1,132,6,0,6,1636,0
2,265,6,0,6,1636,0
1,174,20,0,9,3997,0
1,146,13,0,7,665,0
1,123,6,0,6,2319,0
1,110,3,0,3,2472,0
1,5,3,0,3,2472,0
3,179,4,0,4,5350,0
1,81,34,0,11,5350,0
2,43,7,0,4,5350,0
4,66,16,0,9,5350,0
1,83,35,0,13,5350,0
2,28,21,0,8,5350,0
6,154,34,0,12,5350,0
1,15,2,0,1,828,0
1,32,32,0,10,5350,0
1,34,32,0,10,5350,0
1,29,35,0,10,5350,0
1,11,11,0,4,5350,0
1,39,36,0,10,5350,0
3,112,10,0,9,5350,0
1,73,8,0,3,5350,0
3,123,11,0,5,5350,0
3,106,15,0,4,5350,0
1,33,9,0,7,2319,0
1,22,11,0,5,1296,0
1,49,30,0,11,2319,0
1,78,25,0,9,2319,0
1,49,25,0,9,2319,0
3,157,47,0,13,5350,0
1,22,7,0,4,2319,0
1,78,23,0,7,1296,0
1,26,2,0,2,2472,0
1,57,6,1,4,412,0
1,38,10,0,7,412,0
2,76,13,0,6,533,0
1,21,3,0,3,2472,0
4,63,24,0,11,5350,0
3,95,17,0,5,5350,0
1,38,3,0,3,7,0
1,27,6,0,6,2472,0
10,262,16,0,8,1296,0
8,59,7,0,6,533,0
4,80,16,0,11,2472,0
1,34,3,0,3,2472,0
5,85,10,0,8,2472,0
1,90,5,0,4,5350,0
1,44,14,0,9,2319,0
1,67,9,0,5,5350,0
1,43,3,0,3,2472,0
2,84,13,0,7,5350,0
1,84,11,0,8,5350,0
1,37,11,0,6,5350,0
1,128,9,0,4,5350,0
1,33,15,0,10,5350,0
1,120,14,0,7,2319,0
1,24,10,0,5,1636,0
1,97,11,0,6,828,0
1,111,6,0,4,1636,0
1,171,5,0,3,828,0
4,85,2,0,2,1636,0
1,70,5,0,3,1636,0
1,105,15,0,8,5350,0
5,119,4,0,3,5350,0
1,28,6,0,5,1636,0
1,23,3,0,2,2319,0
1,33,6,0,5,505,0
1,32,3,0,2,5350,0
1,88,3,0,2,5350,0
19,1395,88,0,16,2319,0
1,39,16,0,9,257,0
1,57,12,0,8,1,0
2,192,43,0,12,310,0
2,157,32,0,10,310,0
23,1681,110,0,19,5350,0
1,449,5,0,3,310,0
14,892,5,0,3,224,0
3,47,3,0,3,505,0
1,39,10,0,8,2319,0
1,67,14,0,6,5350,0
12,489,45,0,13,5350,0
1,130,4,0,3,533,0
1,29,3,0,3,505,0
1,20,3,0,2,1126,0
1,31,4,0,3,533,0
1,65,9,0,5,5350,0
1,49,9,0,5,5350,0
6,358,34,0,13,20,0
4,98,20,0,8,5350,0
1,26,3,0,2,5350,0
1,26,3,0,2,5350,0
1,21,3,0,3,2472,0
1,21,3,0,3,2472,0
1,18,3,0,3,2472,0
1,20,3,0,3,2472,0
1,67,3,0,2,5350,0
3,185,17,0,8,3997,0
1,87,3,0,2,1126,0
2,76,24,0,8,3997,0
8,469,26,0,6,2319,0
10,216,1,0,1,1636,0
1,43,2,0,2,2472,0
1,42,2,0,2,2472,0
3,153,18,0,7,310,0
1,40,3,0,2,828,0
3,215,14,2,8,2472,0
4,115,12,0,8,224,0
2,296,27,0,9,2472,0
1,533,12,0,7,5350,0
1,11,3,0,3,2472,0
1,11,3,0,3,2472,0
1,11,3,0,3,2472,0
1,11,3,0,3,2472,0
1,11,3,0,3,2472,0
1,14,1,0,1,1126,0
1,83,9,0,4,5350,0
1,76,10,0,4,1126,0
1,17,2,0,2,2472,0
1,55,2,0,2,2472,0
1,45,6,0,5,505,0
1,25,2,0,2,2472,0
